0
"Movie
=====
Title: Tonto Kid, The (1934)
Genres: Action, Adventure, Crime, Drama, Romance, Western.
Director: Harry L. Fraser.
Writer: Christopher Booth, Harry L. Fraser.
Cast: Rex Bell (Skeets Slawson aka The Tonto Kid), Ruth Mix (Nancy Cahill), Buzz Barton (Wesley Fritch), Theodore Lorch (Lawyer Sam Creech), Joseph W. Girard (Rance Cartwright).
Runtime: 61.
Country: USA.
Language: English.
Rating: 5.8 (24 votes).
Plot: Lawyer Creech is after the ranch of the dying Cartwright. First he brings in Cahill to pose as the only living relative. Then when the Tonto Kid finds platinum on the ranch, Creech frames him for murder."
"Movie
=====
Title: Torres Vedras (1933)
Genres: Documentary.
Country: Portugal.
"
"Movie
=====
Title: Torres Vedras e o Carnaval de 1933 (1933)
Genres: Documentary.
Country: Portugal.
"
